"id","state","abbr","stdtot","stdtot_com_col","stdtot_white","stdtotpos_p50","stdtotpos_p50_com_col","stdtotpos_p50_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","stdcollpos_p50","stdcollpos_p50_com_col","stdcollpos_p50_white","stdmonthpos_p50","stdmonthpos_p50_com_col","stdmonthpos_p50_white","educ_ltBA","educ_ltBA_com_col","educ_ltBA_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"12","Florida","FL",0.1324448,0.1405402,0.1163178,20287.5,19377,20596,0.0873604,0.0969636,0.0787386,11144,10617,11897,152,140,160,0.6683919,0.7166938,0.6294686,0.4885558,89572.91,77770.77,98014.18
"13","Georgia","GA",0.1774654,0.2183383,0.144328,22867,24961,20659,0.0923327,0.1154078,0.071848,10810,11192,10658,169,172,163,0.653721,0.6944451,0.6191844,0.4977367,92425.16,76505.3,105718.3
"15","Hawaii","HI",0.1099698,0.1108383,0.0090909,19450,19415,NA,0.066956,0.0662062,NA,13742.5,13969.5,NA,165,164,NA,0.646975,0.6892681,0.5061512,0.792206,111751.2,110418.5,115079.5
"16","Idaho","ID",0.1449934,0.0813397,0.1462815,18488,NA,18611,0.0641133,NA,0.0633149,11260.5,NA,10986,140,NA,142,0.692848,0.7803589,0.6736982,0.2132896,89955.23,76829.18,92589.18
"17","Illinois","IL",0.1579568,0.1663302,0.152599,20598,19809.5,20323,0.0688788,0.1126454,0.054045,11205,10586,11414.5,166,146,169,0.6286002,0.7009318,0.5862432,0.4106559,99873.84,81673.82,109586.8
"18","Indiana","IN",0.1653342,0.1890131,0.1610221,19346,19596,19006,0.0887588,0.1578236,0.0790018,10244,8898,10426,151,139,150,0.7112075,0.7451636,0.7028974,0.2337397,82642.7,70470.2,85597.1
"19","Iowa","IA",0.1777611,0.1814947,0.1783889,18181,12914.5,18216,0.0673517,0.1176471,0.0654442,11785,NA,11929.5,152,129,152,0.6945895,0.7458206,0.6869358,0.170246,86498.74,71712.95,88643.7
"20","Kansas","KS",0.1614104,0.1117196,0.1646216,18340.5,14236.5,18399,0.081604,0.1486928,0.0719071,10157.5,8116,10730.5,150,123.5,154,0.6460325,0.7417587,0.6186802,0.2663518,86579.72,73924.11,89976.58
"21","Kentucky","KY",0.155075,0.1928783,0.152521,19182.5,21470,19122.5,0.102649,0.2061538,0.0972507,10666.5,11066,10531,147,140,148,0.7301982,0.7625506,0.7246369,0.1734411,76234.4,62350.71,78694.55
"22","Louisiana","LA",0.1628346,0.1975795,0.1449281,17985,20000,16309,0.0977187,0.1228782,0.0822284,10507.5,11434,10270.5,140,141,136,0.7355406,0.8103662,0.6867291,0.4310904,75589.84,54807.97,89466.09
"23","Maine","ME",0.1689747,NA,0.1693207,19685.5,NA,19710,0.0660705,NA,0.0659532,14936,NA,15014,165,NA,165,0.6401212,0.6468607,0.6395109,0.0996125,87755.97,86476.59,87863.45
"24","Maryland","MD",0.1642198,0.1932306,0.1360795,23965.5,25090,22046,0.07563,0.0968446,0.054457,11005,10389,12924,182,175,182.5,0.5745164,0.6364194,0.5157405,0.5216159,119957.5,103014.9,135016.4
"25","Massachusetts","MA",0.1801933,0.1883695,0.1809789,21577,19521,21850,0.0502665,0.0913728,0.0415744,12043,11022.5,12737,185,153,193,0.5338324,0.6233898,0.4982307,0.3252112,124788.6,103289.1,132685.3
"26","Michigan","MI",0.1669615,0.2032236,0.1607857,20603,19658.5,20623,0.0870862,0.1771235,0.0714303,10179,9331,10533,161,141,163,0.6832755,0.7232188,0.6708524,0.2714228,86093.3,71462.66,90594.08
"27","Minnesota","MN",0.1848002,0.2012579,0.1830992,19917.5,19986.5,19777.5,0.0498429,0.1145833,0.0455943,12471,13852,11709,167,163,167,0.6110474,0.6899532,0.5931238,0.2313883,103304.9,88235.68,106434.4
"28","Mississippi","MS",0.1734697,0.2077909,0.1531037,19186,20974.5,18322,0.1075269,0.1427896,0.0807395,9730.5,9249,11022,140,140,139,0.7522248,0.8059407,0.7144514,0.4456473,68047.63,50044.38,80923.63
"29","Missouri","MO",0.1632392,0.1925663,0.1574022,20005,20723,19578,0.084156,0.1646201,0.075031,11702.5,11832,11232,155,135.5,155,0.6828107,0.7300998,0.6707704,0.2344033,84920.05,66616.25,89665.22
"30","Montana","MT",0.1448553,0.1255708,0.1458136,18520,11169.5,18773,0.0673909,0.1454545,0.0656355,11155,NA,11592,151,108,153,0.6520153,0.750169,0.6371974,0.1619358,87083.16,76102.78,88556.72
"31","Nebraska","NE",0.1625773,0.1089766,0.1667844,18012,12125,18039.5,0.047194,0.1153846,0.0438516,10491,NA,10409,152,111,153,0.6555136,0.7582157,0.6315426,0.2357523,89208.63,75181.84,92236.59
"32","Nevada","NV",0.1260314,0.1209982,0.1147167,16446.5,14105,18698.5,0.0992612,0.1216362,0.0745856,10105,8971,11514,130,107,155.5,0.7242709,0.7811705,0.6695265,0.5482633,89960.75,79272.04,98985.61
"33","New Hampshire","NH",0.1777118,NA,0.177773,22118,NA,22094.5,0.052037,NA,0.0520558,11160,NA,11160,185.5,NA,186,0.5975327,0.598793,0.5973864,0.1274896,111907.7,114974.5,111585.6
"34","New Jersey","NJ",0.1615156,0.1567401,0.1631406,21530,19036,22947.5,0.0656731,0.0999315,0.0472122,11739,10949.5,13161,181,153,196,0.568974,0.6288991,0.5210084,0.4789325,124950.7,107094.9,137984.3
"35","New Mexico","NM",0.1267751,0.1262838,0.1034545,17421,16016,20319,0.100197,0.1087396,0.0678261,9641,8494.5,NA,138,130,170.5,0.6994724,0.7950457,0.5604597,0.6508701,76989.21,65779.29,91761.87
"36","New York","NY",0.1599066,0.1499113,0.1708408,21498,20498,21680.5,0.0663036,0.0927658,0.0524908,11037,11135,10962,170,154,177,0.6007972,0.686474,0.5339025,0.4654313,109731.8,90181.61,122988.3
"37","North Carolina","NC",0.1507985,0.1957142,0.1354742,22059,24540,21195,0.0841914,0.1133736,0.0675164,11764,11134.5,12599,166,171,164,0.6508715,0.7268056,0.610777,0.3907093,86803.97,68225.48,96579.41
"38","North Dakota","ND",0.1799603,0.105919,0.1825238,17913,11333.5,18170,0.0467178,0.0882353,0.0459433,10457,NA,10554,152.5,130,154,0.6825842,0.742406,0.6724704,0.1772906,86665.54,77081.09,88100
"39","Ohio","OH",0.1769491,0.2086586,0.1713279,21152,21473,20896,0.0816727,0.1432103,0.0715594,11551,10012,11966,162,147,163,0.6927916,0.7363951,0.6817995,0.2344733,84572.28,65648.37,89566.23
"40","Oklahoma","OK",0.1441084,0.1285543,0.1446476,17453,17356.5,17681,0.1119119,0.1838983,0.0985091,10418,12190,9493,136,119,139,0.7207522,0.7749122,0.696097,0.3716085,75430.3,63277.49,80946.38
"41","Oregon","OR",0.1535775,0.103125,0.1536898,21649.5,NA,21901,0.0773282,NA,0.0754976,12849,NA,13119,163,NA,164,0.6366897,0.6944408,0.61903,0.2795359,95662.49,89760.23,97340.71
"42","Pennsylvania","PA",0.1881645,0.2224441,0.1819817,22132,19592,22420.5,0.0743803,0.1485396,0.0616724,10975.5,10370,11508,175,143,180,0.654551,0.7141403,0.6371313,0.2644664,93835.26,77586.2,98475.45
"44","Rhode Island","RI",0.176916,0.1895168,0.1765354,19616,16520,20671,0.0650661,0.0968956,0.0559796,11465.5,8894,13024,165,135.5,173,0.634985,0.7679199,0.5887359,0.3112932,99143.57,71487.3,108182.1
"45","South Carolina","SC",0.1657037,0.1987183,0.158215,22055,24012,21998,0.0981479,0.1337563,0.0823674,11426,9339.5,12519,163,166,163,0.684683,0.7684829,0.6422811,0.3740334,81580.15,60441.18,92318.22
"46","South Dakota","SD",0.1820822,0.1004098,0.1858404,18939,11594.5,19154,0.0486574,0.1122449,0.0464487,9535,NA,10745,154,121,154,0.6833447,0.780113,0.6660317,0.1999719,86194.05,78779.73,87355.38
"47","Tennessee","TN",0.1470955,0.2146981,0.1319876,19984,21961.5,19314,0.0927059,0.1408708,0.0806173,11391,11193,11696.5,154,155,154,0.6951976,0.7493879,0.6777809,0.2788872,83777.2,67814.88,89045.18
"48","Texas","TX",0.1491649,0.1498118,0.1379937,18087,16495,19287,0.0878658,0.1017874,0.0705755,10399,10016,11009,143,128,157,0.6688405,0.7424606,0.5757182,0.6062299,93667.53,77423.3,112867
"49","Utah","UT",0.1282446,0.1061244,0.1309054,15968.5,13849,16175,0.0658927,0.1277533,0.0616886,6815,NA,7108.5,137,139.5,138,0.6319257,0.7387888,0.603412,0.2398322,105075.5,85586.09,109906.8
"50","Vermont","VT",0.1601106,NA,0.1604235,22188.5,NA,22171,0.0509232,NA,0.05106,17170,NA,17170,187,NA,187,0.555611,0.5479389,0.5562427,0.093728,94496.06,85213.23,95248.59
"51","Virginia","VA",0.1563848,0.1752702,0.1438132,22856,22956,22697.5,0.0677446,0.0933795,0.0574288,11778,11670,12434,178,171,180,0.5819288,0.6325628,0.5519173,0.4076033,111287.3,97981.48,118695.2
"53","Washington","WA",0.1329987,0.1198611,0.1365967,19419,16899.5,19715,0.0599981,0.0804498,0.0561754,11252,9818.5,11381.5,156,140,157,0.6103307,0.6297886,0.6017352,0.35698,116349.2,115588.9,116655.2
"54","West Virginia","WV",0.146001,NA,0.1463244,18760,NA,18760,0.1015098,NA,0.1013156,10704,NA,10772.5,145,NA,145,0.7588283,0.7739038,0.7574898,0.0964419,72293.91,62584,73143.76
"55","Wisconsin","WI",0.1588772,0.1925281,0.1556612,18384.5,19890,18290,0.0595749,0.1508357,0.049654,11613,10766.5,12125,152,147,153,0.6745908,0.7511902,0.6592337,0.2102413,88304.15,73540.7,91104.74
"56","Wyoming","WY",0.1214703,0.0847458,0.1219786,15834,NA,15834,0.0742779,NA,0.0746544,7085.5,NA,7085.5,139,NA,139.5,0.7075539,0.7804482,0.6941155,0.1845136,86911.25,64957.79,90762.2
