"id","state","abbr","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","delinquency_by_credit","delinquency_by_credit_near","delinquency_by_credit_pr","autoopen","autoopen_com_col","autoopen_white","autoretopen","autoretopen_com_col","autoretopen_white","poprural","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"35","New Mexico","NM",0.0594307,0.0706222,0.02504,0.2676426,0.0115728,0.0006169,0.3248182,0.3353004,0.2849946,0.3883306,0.4064291,0.3357323,0.25452864,0.6508701,76989.21,65779.29,91761.87
"36","New York","NY",0.0303063,0.0561745,0.0207302,0.1932122,0.013622,0.0008461,0.2603586,0.1659416,0.3333977,0.3006859,0.2160633,0.3694673,0.1255409,0.4654313,109731.8,90181.61,122988.3
"37","North Carolina","NC",0.0444938,0.0730607,0.0341196,0.2016004,0.0136835,0.000849,0.3139603,0.308195,0.313114,0.3832319,0.3830865,0.3790322,0.33284145,0.3907093,86803.97,68225.48,96579.41
"38","North Dakota","ND",0.0254415,0.0434783,0.0248177,0.1958224,0.0095759,0.0004347,0.3472881,0.3676012,0.3468933,0.407821,0.4283489,0.4074669,0.39033159,0.1772906,86665.54,77081.09,88100
"39","Ohio","OH",0.0396921,0.101966,0.03193,0.205671,0.0081565,0.0005487,0.323028,0.2817647,0.3299786,0.3656968,0.3287026,0.3724443,0.23715931,0.2344733,84572.28,65648.37,89566.23
"40","Oklahoma","OK",0.0504511,0.093561,0.0446085,0.219099,0.0111052,0.0006116,0.3171759,0.2356466,0.3320077,0.3835749,0.2981806,0.3987548,0.35378053,0.3716085,75430.3,63277.49,80946.38
"41","Oregon","OR",0.0187824,0.0337838,0.0174532,0.1532354,0.0043783,0.0001927,0.2730166,0.4,0.2746488,0.3234456,0.45625,0.3261992,0.19500167,0.2795359,95662.49,89760.23,97340.71
"42","Pennsylvania","PA",0.0298641,0.082062,0.0235582,0.180823,0.0100708,0.00058,0.3313363,0.2340226,0.3464128,0.3805756,0.2961119,0.3937584,0.2354611,0.2644664,93835.26,77586.2,98475.45
"44","Rhode Island","RI",0.0298762,0.0660848,0.0223061,0.1826698,0.0067492,0.0011749,0.3008926,0.2360492,0.3171349,0.3409049,0.2818684,0.3553986,0.08947501,0.3112932,99143.57,71487.3,108182.1
"45","South Carolina","SC",0.0664303,0.111959,0.0509713,0.2590982,0.014884,0.0009156,0.2934213,0.2760414,0.2980633,0.3800478,0.3891895,0.3743273,0.32051969,0.3740334,81580.15,60441.18,92318.22
"46","South Dakota","SD",0.0225825,0.1226994,0.0189476,0.1942758,0.0094851,0.000373,0.3294978,0.2622951,0.3316947,0.3899713,0.3217213,0.3922738,0.42780435,0.1999719,86194.05,78779.73,87355.38
"47","Tennessee","TN",0.0521782,0.1088741,0.0426557,0.2460023,0.0110425,0.0005242,0.2959538,0.2682352,0.300017,0.3700807,0.3413331,0.3746759,0.33766633,0.2788872,83777.2,67814.88,89045.18
"48","Texas","TX",0.0597041,0.0793714,0.0382712,0.2423322,0.0141596,0.0009377,0.3217072,0.301991,0.3394386,0.3887666,0.3769349,0.4015007,0.16279725,0.6062299,93667.53,77423.3,112867
"49","Utah","UT",0.0247257,0.0533516,0.0232214,0.1888314,0.0058797,0.0002924,0.3482422,0.2819074,0.3514383,0.3959976,0.3347359,0.3984077,0.10218589,0.2398322,105075.5,85586.09,109906.8
"50","Vermont","VT",0.0206785,NA,0.0207433,0.1946903,0.0114848,0.0002793,0.4016593,NA,0.4022801,0.4404711,NA,0.4411286,0.64879789,0.093728,94496.06,85213.23,95248.59
"51","Virginia","VA",0.0370432,0.0559313,0.0304972,0.1971307,0.0114817,0.0006357,0.3006024,0.2973314,0.3044776,0.3553101,0.3546263,0.3603269,0.24365476,0.4076033,111287.3,97981.48,118695.2
"53","Washington","WA",0.0211796,0.0293504,0.0190175,0.1677788,0.0054457,0.0002119,0.2782455,0.2753901,0.2828748,0.3296404,0.3201825,0.3387099,0.16628154,0.35698,116349.2,115588.9,116655.2
"54","West Virginia","WV",0.0390184,NA,0.039075,0.1789858,0.0093637,0.0008672,0.3467321,NA,0.3468029,0.4028064,NA,0.4029002,0.55352074,0.0964419,72293.91,62584,73143.76
"55","Wisconsin","WI",0.0278529,0.0903145,0.0231484,0.2085096,0.0090377,0.0003239,0.3160879,0.2386783,0.3230379,0.3678682,0.3040578,0.3735454,0.32916862,0.2102413,88304.15,73540.7,91104.74
"56","Wyoming","WY",0.0317439,NA,0.0312757,0.2101791,0.0053971,0.0006022,0.3455862,0.2881356,0.3464868,0.4061264,0.3389831,0.4070826,0.37982252,0.1845136,86911.25,64957.79,90762.2
