id,state,abbr,perc_stud_debt,perc_stud_debt_wh,perc_stud_debt_nw,med_stud_debt,med_stud_debt_wh,med_stud_debt_nw,perc_stud_debt_collect,perc_stud_debt_collect_wh,perc_stud_debt_collect_nw,med_stud_debt_collect,med_stud_debt_collect_wh,med_stud_debt_collect_nw,med_mon_pmt,med_mon_pmt_wh,med_mon_pmt_nw,perc_pop_nw,perc_no_bach,perc_no_bach_wh,perc_no_bach_nw,avg_income,avg_income_wh,avg_income_nw,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_wh,perc_stud_debt_collect_STUD_nw
21,Kentucky,KY,0.1633306,0.1612537,0.1994178,16098,15945,15920.5,0.0271151,0.0260365,0.0560408,8258,8250,5997,156,155,137,0.148465157,0.767071605,0.764162004,0.787834227,62595.66406,63967.76563,53097.37891,.1660133,.1614627,.2810219
22,Louisiana,LA,0.1548812,0.1392048,0.1925904,15452,14664,16652,0.0235533,0.0181145,0.0361016,7275,7714,7613,150,151,145,0.41016084,0.768013299,0.728900552,0.83420372,64894.90234,76506.44531,45222.85156,.1520733,.1301285,.1874528
23,Maine,ME,0.18552,0.1863804,N/A,16701,16706,N/A,0.0208693,0.020929,N/A,9281,9279,N/A,167,167,N/A,0.064187348,0.698771358,0.699123383,0.691722095,67135.04688,67871.64063,52340.41016,.112491,.1122917,N/A
24,Maryland,MD,0.1665653,0.1416708,0.1965851,19498,18009,19678,0.0194725,0.012543,0.0303863,9482.5,9596,9426,189,188,182,0.481381297,0.612036705,0.563325167,0.672502398,99957.02344,111934.8906,83826.98438,.1169061,.0885361,.1545709
25,Massachusetts,MA,0.1852648,0.1853518,0.1833568,18486.5,18861,14314.5,0.0163302,0.0137682,0.0287895,9787,9792,8923,197,206,145,0.270195782,0.585333228,0.555179358,0.686019659,97586.25781,104518.1641,72658.03125,.0881455,.0742816,.1570136
26,Michigan,MI,0.1809552,0.1741655,0.2158493,17246,17408,15097,0.0285586,0.0225152,0.066859,6642,6808,6311.5,165,168,143,0.245516598,0.722001076,0.710831881,0.764093935,69491.98438,73753.42969,53444.84375,.1578214,.1292746,.3097484
27,Minnesota,MN,0.2044924,0.2021794,0.2317125,17315,17288.5,14822.5,0.0187467,0.0169048,0.055814,9492,9666,7528,180,181,170,0.190898299,0.653058767,0.638923228,0.735135078,83488.24219,86703.67969,63238.6875,.0916745,.0836131,.2408759
28,Mississippi,MS,0.1766641,0.1508079,0.227058,16078.5,15723.5,15966,0.0347281,0.0235583,0.059805,6145,7531.5,4967,147,148,142,0.430195749,0.791737318,0.754660785,0.849945664,55494.76953,66264.49219,38985.57813,.1965769,.1562137,.2633909
29,Missouri,MO,0.1762834,0.1696974,0.2107232,16917.5,16536.5,17449.5,0.0256233,0.0218165,0.0544888,9419,9100.5,9341,163,163,145,0.201342881,0.721552134,0.71093303,0.773223758,68065.36719,71410.40625,52205.58203,.1453529,.1285614,.2585799
30,Montana,MT,0.1566034,0.1576394,0.1338583,15628,15827,7930,0.0188504,0.0176606,0.0374016,7109,7217.5,n<50,161.5,164,n<50,0.133989215,0.693947196,0.68006146,0.814921737,66109.6875,68112.5,46182.46094,.1203704,.1120316,.2794118
31,Nebraska,NE,0.1780381,0.181892,0.1255814,15275,15420.5,10602,0.0180251,0.0166901,0.0294574,7546.5,7770,n<50,163,164,118.5,0.199436784,0.697961092,0.67896843,0.803533137,72307.78125,76177.23438,49422.14063,.1012427,.091758,.2345679
32,Nevada,NV,0.1266577,0.1239001,0.1177513,14218,15634,11826,0.0232645,0.0159481,0.0292783,8244,8601.5,7838,150,173,123.5,0.494719386,0.764409721,0.712258577,0.833188593,70575.85938,77856.90625,59485.67188,.1836801,.1287173,.2486454
33,New Hampshire,NH,0.1974709,0.1978665,N/A,18777,18777,N/A,0.0190318,0.0190124,N/A,10861,10884,N/A,196,195.5,N/A,0.090628505,0.643290639,0.645342052,0.616618872,89735.45313,90070.32813,84733.75,.0963777,.096087,N/A
34,New Jersey,NJ,0.1622513,0.161021,0.1554107,18633,20061,14975,0.0167791,0.0110802,0.0268821,9405,10591,8119.5,188,208,147,0.439517796,0.624079049,0.582755864,0.685135126,101060.9688,113780.9609,80339.24219,.1034141,.0688123,.1729746
35,New Mexico,NM,0.135006,0.1243694,0.1299839,14614,17714,13512,0.0223782,0.0166703,0.0251821,8622,10592,8473.5,148,173.5,135,0.617233932,0.735427022,0.601691067,0.844150424,62747.44531,74402.8125,52306.83594,.1657567,.1340388,.1937322
36,New York,NY,0.1672798,0.1752436,0.161349,18205,18591,16650,0.019244,0.0159447,0.0259613,8289,8267,8163,181,188,159,0.44175756,0.649710655,0.590256095,0.735168457,89907.95313,102390.4063,69352.54688,.1150409,.0909859,.1609018
37,North Carolina,NC,0.1542125,0.1388546,0.204495,17573,17019,19429,0.0214958,0.0158836,0.0367459,7585,8627,6508,169,173,168,0.363935709,0.705580115,0.668273389,0.78531611,67515.64063,75387.22656,50378.60156,.1393907,.1143901,.1796908
38,North Dakota,ND,0.1955815,0.198085,0.1349693,16443,16587,n<50,0.0174239,0.0168658,0.0368098,7746,7847.5,n<50,163,162,n<50,0.140864134,0.708540559,0.700895607,0.768331587,81460.00781,83019.88281,68714.61719,.0890878,.0851441,.2727273
39,Ohio,OH,0.1910014,0.1851991,0.2333231,18062,18116,16498,0.0290764,0.025047,0.0636266,8526,8854,6760,173,174,156,0.203020275,0.732144117,0.722780645,0.777340174,68880.03906,73292.53125,49039.73438,.1522312,.1352434,.2726972
40,Oklahoma,OK,0.1502799,0.1500032,0.1333801,15028,15317,14081,0.0265313,0.0237366,0.0390096,6541,6692.5,6509,154,156,140,0.335902214,0.753699064,0.730496645,0.814596415,66260.33594,71211.09375,52782.76563,.1765457,.1582405,.2924694
41,Oregon,OR,0.1689574,0.1691593,0.06,17769.5,17976.5,n<50,0.0218649,0.0212928,0.03,8776,8777,n<50,169,170,n<50,0.234889925,0.678488314,0.663700342,0.7429353,73144.23438,75008.35938,64057.42578,.1294107,.1258741,.5
42,Pennsylvania,PA,0.198559,0.1925467,0.2382453,18544,18987,15188,0.0240126,0.0191037,0.0603625,8359,9016.5,7100,180,185,140,0.22744453,0.703113317,0.688702106,0.764899075,75981.125,80387.82031,56353.98828,.1209342,.0992159,.2533627
44,Rhode Island,RI,0.1799603,0.1782541,0.1794118,16481.5,17174,12211,0.0195025,0.0160556,0.0388235,8651,8503,7245.5,171,180,117,0.26615119,0.672889233,0.644875765,0.775527,78295.17969,84377.79688,55880.96875,.1083712,.0900712,.2163934
45,South Carolina,SC,0.1676033,0.1609292,0.2091938,18365.5,18022.5,20104,0.0249301,0.0201735,0.0377284,8045,9922,6595,166,168,158,0.362803519,0.731841564,0.683096051,0.83402741,64351.74219,73506.98438,45151.12891,.1487445,.1253561,.1803512
46,South Dakota,SD,0.1945139,0.2001528,0.1035941,16491,16793,n<50,0.0187871,0.0188002,0.0169133,10414,11323.5,n<50,162,164,n<50,0.172152996,0.724946201,0.707042992,0.845218658,68722.69531,71700.39844,45157.12109,.0965847,.093929,.1632653
47,Tennessee,TN,0.1517107,0.1374206,0.2091177,16816,15891,18236,0.0248748,0.0198778,0.0478187,7711,8112,6567.5,161,158,157,0.257638633,0.742688417,0.728473306,0.792715371,66008.63281,70455.90625,50524.78516,.1639619,.1446497,.2286689
48,Texas,TX,0.1494933,0.1418851,0.1506722,15378,16392,13995,0.0213653,0.0162698,0.0254899,7042,7588.5,6782,157,172,139,0.570606351,0.716395974,0.627983689,0.799687445,78861.80469,95812.14063,61270.64844,.1429178,.1146686,.1691748
49,Utah,UT,0.1369383,0.1402531,0.0887931,13797,13841.5,11000,0.0133827,0.0128512,0.0232759,7571,7777,n<50,144,145,138.5,0.210873187,0.681556702,0.654489279,0.805108607,79860.27344,83437.3125,61747.28125,.0977276,.0916286,.2621359
50,Vermont,VT,0.1724394,0.172473,N/A,17996,18000,N/A,0.0164361,0.0166078,N/A,9371,9256,N/A,184,183,N/A,0.065795898,0.630524278,0.628701687,0.664030075,74502.00781,75123.22656,63034.48047,.095315,.0962922,N/A
51,Virginia,VA,0.1626943,0.1507549,0.18991,19213,19118,18863.5,0.0174094,0.0140871,0.0291345,9341.5,9948,7787.5,187,190,163.5,0.374987066,0.630267978,0.597092807,0.694739223,90555.77344,97123.86719,76512.25781,.1070069,.0934435,.1534123
53,Washington,WA,0.1435214,0.1468948,0.1267397,16210.5,16474.5,14101,0.0156385,0.0150577,0.0170718,8672,9091,6633.5,172,175,160,0.303120196,0.658256173,0.641973853,0.706791282,85653.08594,88536.75,76064.70313,.108963,.102507,.1346999
54,West Virginia,WV,0.146696,0.1471592,n<50,15100.5,15014,n<50,0.0262052,0.0259492,n<50,7565.5,7426.5,n<50,150,150,n<50,0.077035308,0.804349184,0.807865024,0.753718793,56568.14844,56675.21484,54966.80469,.1786364,.1763341,n<50
55,Wisconsin,WI,0.176428,0.1729219,0.2162485,15191,15175,15316,0.0192388,0.0159206,0.0524359,6728,7016,5975,161,163,151,0.18187362,0.716137052,0.700996459,0.808977187,72099.00781,75272.57031,51836.66797,.1090459,.0920683,.2424801
56,Wyoming,WY,0.1279486,0.1297906,0.0535714,13528,13615,n<50,0.016112,0.0165998,0.0178571,5747,5747,n<50,154.5,155.5,n<50,0.159438491,0.737531066,0.720990419,0.852712214,76934.25781,79307.45313,59090.40625,.1259259,.127897,.3333333
