id,state,abbr,perc_debt_student,med_debt_student,perc_debt_collect,med_debt_collect,med_monthdebt_student,perc_debt_student_nw,med_debt_student_nw,perc_debt_collect_nw,med_debt_collect_nw,med_monthdebt_student_nw,perc_debt_student_wh,med_debt_student_wh,perc_debt_collect_wh,med_debt_collect_wh,med_monthdebt_student_wh,perc_pop_wh,perc_pop_ba,perc_pop_whba,perc_pop_nwba,avg_income,avg_income_wh,avg_income_nw
12,Florida,FL,.1395774,16637,.0227303,8387,154,.151365,15930,.0274152,8192.5,142,.1257251,16624,.0186119,8844,160,0.551050127,0.284303039,0.318828702,0.232959971,70462.35156,78052.02344,57349.00391
13,Georgia,GA,.1799486,18821,.0278567,7118,170,.2249483,20287,.045846,6701,168,.1513941,17515.5,.0180017,7620,173,0.536738753,0.299249351,0.335734367,0.248751029,71554.57031,82288.4375,56336.52734
15,Hawaii,HI,.1125718,15589.5,.0139119,8667,170,.1135186,15813,.013947,9003,167.5,.056962,n<50,.0126582,n<50,n<50,0.22782293,0.313611537,0.44814229,0.267490327,92496.16406,95309.91406,91219.97656
16,Idaho,ID,.1643637,15502,.0214906,7473,147,.0625,n<50,.03125,n<50,n<50,.1660548,15541,.0213622,7455,147,0.826037347,0.259771734,0.277408719,0.147345915,63921.13672,65381.375,53200.57422
17,Illinois,IL,.1656721,17747.5,.0197692,7748.5,181,.1822984,16538,.0357554,7574,152,.1581878,17610,.0146463,7875,185,0.618074179,0.329434365,0.370464921,0.248478442,82699.35938,91124.39063,64057.1875
18,Indiana,IN,.1774558,16715,.0285151,7008,163,.2169551,16636,.0599713,5828.5,152,.1731634,16749.5,.0249275,7329,165,0.798963368,0.249364451,0.256886721,0.210746929,67064.73438,69830.63281,52874.25
19,Iowa,IA,.201383,15236,.0247471,7778,162,.1957672,n<50,.0899471,n<50,n<50,.2020282,15380,.0239213,7809,163,0.867658317,0.268300772,0.275800705,0.198210686,70035.60938,72119.64844,49504.86328
20,Kansas,KS,.1729518,15750,.0223012,7269,162,.1203303,11536.5,.0326386,8849,116,.1768945,15750,.0205745,7033,164,0.7637133,0.317219824,0.342793733,0.207286075,73069.39844,77329.88281,53910.88281
21,Kentucky,KY,.1633306,16098,.0271151,8258,156,.1984127,15789,.0562771,6086,137,.1612537,15945,.0260365,8250,155,0.851534843,0.23292838,0.235837981,0.212165758,62595.66406,63967.76563,53097.37891
22,Louisiana,LA,.1548812,15452,.0235533,7275,150,.1923524,16652,.036057,7613,145,.1392048,14664,.0181145,7714,151,0.58983916,0.231986701,0.271099448,0.165796265,64894.90234,76506.44531,45222.85156
23,Maine,ME,.18552,16701,.0208693,9281,167,n<50,n<50,n<50,n<50,n<50,.1863804,16706,.020929,9279,167,0.935812652,0.301228613,0.300876647,0.308277905,67135.04688,67871.64063,52340.41016
24,Maryland,MD,.1665653,19498,.0194725,9482.5,189,.1965226,19678,.0303767,9426,182,.1416708,18009,.012543,9596,188,0.518618703,0.387963295,0.436674833,0.327497631,99957.02344,111934.8906,83826.98438
25,Massachusetts,MA,.1852648,18486.5,.0163302,9787,197,.1833568,14314.5,.0287895,8923,145,.1853518,18861,.0137682,9792,206,0.729804218,0.414666802,0.444820672,0.313980341,97586.25781,104518.1641,72658.03125
26,Michigan,MI,.1809552,17246,.0285586,6642,165,.2157472,15094,.0668099,6311.5,143,.1741655,17408,.0225152,6808,168,0.754483402,0.277998894,0.289168149,0.23590605,69491.98438,73753.42969,53444.84375
27,Minnesota,MN,.2044924,17315,.0187467,9492,180,.2315167,14822.5,.0557668,7528,170,.2021794,17288.5,.0169048,9666,181,0.809101701,0.346941233,0.361076772,0.264864951,83488.24219,86703.67969,63238.6875
28,Mississippi,MS,.1766641,16078.5,.0347281,6145,147,.227027,15940.5,.0597598,4969,142,.1508079,15723.5,.0235583,7531.5,148,0.569804251,0.208262712,0.2453392,0.150054365,55494.76953,66264.49219,38985.57813
29,Missouri,MO,.1762834,16917.5,.0256233,9419,163,.2100757,17391,.0543492,9116,145,.1696974,16536.5,.0218165,9100.5,163,0.798657119,0.278447866,0.28906697,0.226776257,68065.36719,71410.40625,52205.58203
30,Montana,MT,.1566034,15628,.0188504,7109,161.5,.1338583,7930,.0374016,n<50,n<50,.1576394,15827,.0176606,7217.5,164,0.866010785,0.306052834,0.319938511,0.185078233,66109.6875,68112.5,46182.46094
31,Nebraska,NE,.1780381,15275,.0180251,7546.5,163,.1255814,10602,.0294574,n<50,118.5,.181892,15420.5,.0166901,7770,164,0.800563216,0.302038878,0.32103157,0.196466863,72307.78125,76177.23438,49422.14063
32,Nevada,NV,.1266577,14218,.0232645,8244,150,.1177595,11838,.0293868,7845,123.5,.1239001,15634,.0159481,8601.5,173,0.505280614,0.235590279,0.287741393,0.166811392,70575.85938,77856.90625,59485.67188
33,New Hampshire,NH,.1974709,18777,.0190318,10861,196,n<50,n<50,n<50,n<50,n<50,.1978665,18777,.0190124,10884,195.5,0.909371495,0.356709361,0.354657948,0.383381128,89735.45313,90070.32813,84733.75
34,New Jersey,NJ,.1622513,18633,.0167791,9405,188,.1553976,14986,.0268758,8119.5,146.5,.161021,20061,.0110802,10591,208,0.560482204,0.375920951,0.417244136,0.314864874,101060.9688,113780.9609,80339.24219
35,New Mexico,NM,.135006,14614,.0223782,8622,148,.1299484,13505,.0252029,8473.5,135,.1243694,17714,.0166703,10592,173.5,0.382766068,0.264573008,0.398308933,0.155849546,62747.44531,74402.8125,52306.83594
36,New York,NY,.1672798,18205,.019244,8289,181,.1611327,16650,.0259199,8163,159,.1752436,18591,.0159447,8267,188,0.55824244,0.350289375,0.409743875,0.264831513,89907.95313,102390.4063,69352.54688
37,North Carolina,NC,.1542125,17573,.0214958,7585,169,.2042768,19429,.0367066,6508,168,.1388546,17019,.0158836,8627,173,0.636064291,0.294419914,0.331726611,0.21468392,67515.64063,75387.22656,50378.60156
38,North Dakota,ND,.1955815,16443,.0174239,7746,163,.1349862,n<50,.0330578,n<50,n<50,.198085,16587,.0168658,7847.5,162,0.859135866,0.291459441,0.299104393,0.231668398,81460.00781,83019.88281,68714.61719
39,Ohio,OH,.1910014,18062,.0290764,8526,173,.2330538,16498,.0635531,6760,156,.1851991,18116,.025047,8854,174,0.796979725,0.267855883,0.277219355,0.222659796,68880.03906,73292.53125,49039.73438
40,Oklahoma,OK,.1502799,15028,.0265313,6541,154,.1333489,14083,.0388643,6509,141,.1500032,15317,.0237366,6692.5,156,0.664097786,0.246300921,0.269503325,0.185403571,66260.33594,71211.09375,52782.76563
41,Oregon,OR,.1689574,17769.5,.0218649,8776,169,.0652174,n<50,.0362319,n<50,n<50,.1691593,17976.5,.0212928,8777,170,0.765110075,0.321511686,0.336299658,0.25706473,73144.23438,75008.35938,64057.42578
42,Pennsylvania,PA,.198559,18544,.0240126,8359,180,.2380029,15229,.0601949,7100,140,.1925467,18987,.0191037,9016.5,185,0.77255547,0.296886683,0.311297864,0.23510091,75981.125,80387.82031,56353.98828
44,Rhode Island,RI,.1799603,16481.5,.0195025,8651,171,.1794118,12211,.0388235,7245.5,117,.1782541,17174,.0160556,8503,180,0.73384881,0.327110767,0.355124205,0.224472985,78295.17969,84377.79688,55880.96875
45,South Carolina,SC,.1676033,18365.5,.0249301,8045,166,.2089449,20104,.0376835,6595,158,.1609292,18022.5,.0201735,9922,168,0.637196481,0.268158436,0.316903979,0.165972605,64351.74219,73506.98438,45151.12891
46,South Dakota,SD,.1945139,16491,.0187871,10414,162,.1035941,n<50,.0169133,n<50,n<50,.2001528,16793,.0188002,11323.5,164,0.827847004,0.275053799,0.292957008,0.154781327,68722.69531,71700.39844,45157.12109
47,Tennessee,TN,.1517107,16816,.0248748,7711,161,.2088382,18236,.0477548,6567.5,157,.1374206,15891,.0198778,8112,158,0.742361367,0.257311583,0.271526664,0.207284629,66008.63281,70455.90625,50524.78516
48,Texas,TX,.1494933,15378,.0213653,7042,157,.1506094,13999,.0254818,6783,139,.1418851,16392,.0162698,7588.5,172,0.429393619,0.283604056,0.372016281,0.20031257,78861.80469,95812.14063,61270.64844
49,Utah,UT,.1369383,13797,.0133827,7571,144,.0887166,11000,.0232558,n<50,138.5,.1402531,13841.5,.0128512,7777,145,0.789126813,0.318443298,0.345510691,0.194891408,79860.27344,83437.3125,61747.28125
50,Vermont,VT,.1724394,17996,.0164361,9371,184,n<50,n<50,n<50,n<50,n<50,.172473,18000,.0166078,9256,183,0.934204102,0.369475722,0.371298283,0.335969955,74502.00781,75123.22656,63034.48047
51,Virginia,VA,.1626943,19213,.0174094,9341.5,187,.1898999,18863.5,.029133,7787.5,163.5,.1507549,19118,.0140871,9948,190,0.625012934,0.369731992,0.402907193,0.305260748,90555.77344,97123.86719,76512.25781
53,Washington,WA,.1435214,16210.5,.0156385,8672,172,.1262944,14101,.0170118,6633.5,160,.1468948,16474.5,.0150577,9091,175,0.696879804,0.341743857,0.358026147,0.293208718,85653.08594,88536.75,76064.70313
54,West Virginia,WV,.146696,15100.5,.0262052,7565.5,150,n<50,n<50,n<50,n<50,n<50,.1471592,15014,.0259492,7426.5,150,0.922964692,0.195650846,0.192134947,0.246281207,56568.14844,56675.21484,54966.80469
55,Wisconsin,WI,.176428,15191,.0192388,6728,161,.2162485,15316,.0524359,5975,151,.1729219,15175,.0159206,7016,163,0.81812638,0.283862948,0.299003541,0.191022828,72099.00781,75272.57031,51836.66797
56,Wyoming,WY,.1279486,13528,.016112,5747,154.5,.0655738,n<50,.0163934,n<50,n<50,.1297906,13615,.0165998,5747,155.5,0.840561509,0.262468904,0.279009551,0.147287771,76934.25781,79307.45313,59090.40625
