"id","state","abbr","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","delinquency_by_credit","delinquency_by_credit_near","delinquency_by_credit_pr","autoopen","autoopen_com_col","autoopen_white","autoretopen","autoretopen_com_col","autoretopen_white","poprural","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"41","Oregon","OR",0.0327134,0.0506329,0.0321891,0.2051597,0.0078403,0.0003751,0.2706363,0.311859,0.2696921,0.3273596,0.3753205,0.3262556,0.19500167,0.2836149,102923,95784.63,104935.7
"42","Pennsylvania","PA",0.0422943,0.1032948,0.0349535,0.2216962,0.0121076,0.0005544,0.3210035,0.2408189,0.3329078,0.3750145,0.3069692,0.3851226,0.2354611,0.2686384,100014.8,82584.48,105145
"44","Rhode Island","RI",0.039591,0.0812962,0.0320149,0.2098106,0.0108571,0.000262,0.2947397,0.2421588,0.3056311,0.3404032,0.3024356,0.3482722,0.08947501,0.3180929,108022.9,88576.16,114206.2
"45","South Carolina","SC",0.0682252,0.0988439,0.0586374,0.2681346,0.0157188,0.001095,0.2980177,0.2833962,0.3024792,0.3848635,0.3897679,0.3833602,0.32051969,0.3749824,88704.25,67572.59,99540.46
"46","South Dakota","SD",0.0290714,0.1083123,0.0259969,0.2085674,0.0060729,0.0003885,0.3264318,0.2818428,0.3283346,0.3906903,0.3568202,0.3921357,0.42780435,0.2010708,90805.69,75042.56,93535.44
"47","Tennessee","TN",0.0585142,0.1188789,0.0475537,0.2657751,0.0146474,0.0005362,0.3006913,0.2803566,0.3046105,0.3735856,0.3500425,0.3781269,0.33766633,0.2809839,89799.12,73647.34,95128.75
"48","Texas","TX",0.0672412,0.0795974,0.0494232,0.2582534,0.0160919,0.0009356,0.320879,0.311437,0.3350178,0.3914245,0.3855826,0.4002202,0.16279725,0.6109358,101737.8,84837.01,122042.1
"49","Utah","UT",0.0298681,0.0576988,0.0276555,0.199271,0.0076336,0.0003225,0.3484682,0.3257925,0.3503132,0.4063034,0.3974533,0.4070354,0.10218589,0.2435323,114044,96287.21,118396.9
"50","Vermont","VT",0.0246941,NA,0.02474,0.204902,0.0105093,0.0005801,0.3930619,NA,0.3929922,0.4351586,NA,0.4351156,0.64879789,0.0981634,97261.2,93771.8,97582.66
"51","Virginia","VA",0.0487088,0.0629037,0.0419032,0.2374717,0.0138897,0.0007005,0.3011497,0.3017802,0.3008838,0.360668,0.3614573,0.3603485,0.24365476,0.4132481,119058.2,106138.4,126330.2
"53","Washington","WA",0.0308979,0.0415392,0.028636,0.1958246,0.0074586,0.0005442,0.2751493,0.2609642,0.2784666,0.3315903,0.3086647,0.3369525,0.16628154,0.3653234,125847.3,123227,126929.4
"54","West Virginia","WV",0.0476705,NA,0.0477119,0.213963,0.013245,0.0004267,0.3577935,0.372093,0.3576923,0.4187248,0.4302326,0.4186447,0.55352074,0.1019787,75265.1,66982.34,76020.34
"55","Wisconsin","WI",0.0360675,0.115917,0.0301277,0.2455128,0.0114044,0.0002489,0.3065097,0.2510195,0.3111728,0.363617,0.314583,0.3677486,0.32916862,0.2101824,94085.06,78196.43,97114.26
"56","Wyoming","WY",0.037746,NA,0.0370069,0.2309043,0.0118953,0.0003986,0.3433052,0.3454545,0.3433495,0.4090303,0.3727273,0.4093224,0.37982252,0.1860415,90018.06,86288.9,90725.34
