"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"12","Florida","FL",0.1799121,0.2010503,0.1599861,1555,1639,1453,0.0402373,0.0406488,0.0398626,0.017994,0.0207872,0.0155289,0.0719339,0.0869199,0.0585402,0.0713708,0.0893647,0.0546057,461,457,466
"13","Georgia","GA",0.2160578,0.2658286,0.1734299,1477,1530,1420,0.0546641,0.0599096,0.0501768,0.0102318,0.0146561,0.0061027,0.089452,0.1127542,0.0706684,0.0880221,0.1156367,0.0666727,441,440,447
"15","Hawaii","HI",0.0946353,0.0943337,0.1067961,1210,1220,NA,0.0105485,0.0108966,0,0.0121622,0.0096552,NA,0.0455508,0.0464602,NA,0.0353698,0.0361217,0.0138889,502,498.5,NA
"16","Idaho","ID",0.1187815,NA,0.1192893,1287,NA,1287.5,0.0241528,NA,0.024293,0.0064412,NA,0.0064673,0.039823,NA,0.0401189,0.0435474,NA,0.043756,405,NA,405
"17","Illinois","IL",0.147643,0.2002489,0.1209549,1375,1449.5,1322.5,0.0355091,0.0394857,0.0334538,0.0098763,0.0176883,0.0064858,0.0646501,0.1001405,0.0465616,0.0526641,0.0867655,0.036502,411,403,444
"18","Indiana","IN",0.1769596,0.293503,0.1615241,1381,1675,1304,0.0416689,0.0581554,0.0394904,0.0110988,0.0245283,0.009641,0.0660724,0.1365706,0.0569282,0.0643031,0.1228231,0.0573788,415.5,468.5,405.5
"19","Iowa","IA",0.1479359,0.2277228,0.1460055,1160,NA,1177,0.0216349,0.0346535,0.0213199,0.0052701,0.04,0.0046885,0.0499445,0.0833333,0.0491865,0.0559846,0.076087,0.0555799,376,NA,387.5
"20","Kansas","KS",0.1633827,0.2345828,0.1553649,1239,1235.5,1239,0.0424673,0.0483676,0.0418028,0.0181818,0.070922,0.0148381,0.0462237,0.071161,0.0431354,0.057004,0.1081081,0.0514454,360,NA,364.5
"21","Kentucky","KY",0.2112725,0.3357314,0.2065656,1132.5,1238,1130,0.0452109,0.0935252,0.043412,0.0094787,0.0091743,0.0094888,0.0622196,0.0804598,0.0617322,0.0699486,0.1153846,0.068547,430.5,NA,428
"22","Louisiana","LA",0.2342663,0.3252441,0.1959006,1383,1467.5,1325,0.0467042,0.0538354,0.0437036,0.0070577,0.0113293,0.0050269,0.0984849,0.1415929,0.0838977,0.0897717,0.139823,0.0717327,322.5,375,295
"23","Maine","ME",0.1146271,NA,0.1147753,922,NA,922,0.0248628,NA,0.0248949,0.0066778,NA,0.0066946,0.0299345,NA,0.0299906,0.0438202,NA,0.0438449,435,NA,435
"24","Maryland","MD",0.1455814,0.1767881,0.1155073,1232,1248,1183.5,0.0229802,0.025641,0.0204323,0.0176991,0.022541,0.0128364,0.0730472,0.0979689,0.0529865,0.0689623,0.0899783,0.050159,467,445,474
"25","Massachusetts","MA",0.0846688,0.1676647,0.0639161,1187,1283.5,1110.5,0.0077879,0.00998,0.0072405,0.0066433,0.0182876,0.004577,0.0436906,0.0880713,0.0303941,0.0424144,0.0920535,0.0308901,400.5,430,378
"26","Michigan","MI",0.1603394,0.3387318,0.1323574,1304.5,1483.5,1235.5,0.0213265,0.0334889,0.0194187,0.0170265,0.0412595,0.0139198,0.071515,0.2121896,0.052495,0.0582007,0.1507656,0.0470337,424,421,425
"27","Minnesota","MN",0.0857656,0.1641157,0.0790594,1071.5,1253,1058.5,0.004255,0.0068027,0.0040395,0.0043119,0.0088757,0.0040168,0.0382763,0.0593472,0.036041,0.0360554,0.0659824,0.0335843,386.5,NA,397.5
"28","Mississippi","MS",0.2459058,0.3266129,0.2030309,1301,1253,1320,0.0510347,0.0652493,0.0433262,0.0059549,0.0068493,0.0054237,0.1103247,0.1580882,0.0857503,0.1215676,0.170044,0.1005736,391,305,447
"29","Missouri","MO",0.200328,0.3781646,0.1772056,1283.5,1383,1259,0.0478042,0.0748945,0.0442842,0.0162637,0.0401786,0.0136552,0.0725215,0.1574279,0.0636574,0.057306,0.1199069,0.0508002,359,350,364
"30","Montana","MT",0.1330086,0.3186813,0.1264546,1037,NA,1031.5,0.0295991,0.043956,0.0290923,0.009396,NA,0.0082531,0.0342612,NA,0.0300668,0.0365425,NA,0.0343102,464,NA,NA
"31","Nebraska","NE",0.1219072,0.2445194,0.1072006,1307,1244,1341.5,0.013184,0.0404722,0.009911,0.0034149,0,0.0035885,0.0307167,0.0582011,0.027406,0.0466646,0.0934256,0.042011,404,NA,406
"32","Nevada","NV",0.191704,0.2153447,0.1557261,1828.5,1847,1751,0.0480942,0.0476279,0.0488775,0.0164936,0.0194595,0.0126404,0.0664047,0.0773732,0.0496524,0.0663732,0.0763473,0.052226,497,479,532.5
"33","New Hampshire","NH",0.0969957,NA,0.0969957,1208,NA,1208,0.0160229,NA,0.0160229,0.0091873,NA,0.0091873,0.0365646,NA,0.0365646,0.0394678,NA,0.0394678,466,NA,466
"34","New Jersey","NJ",0.0993035,0.1508045,0.0632403,1251.5,1240,1292,0.0189845,0.0254522,0.0144568,0.0084536,0.0111111,0.0070075,0.0580134,0.0855457,0.0377222,0.0479359,0.0783531,0.0282582,419,408,450
"35","New Mexico","NM",0.1892536,0.1968191,0.1524324,1255.5,1314,1039,0.0388777,0.0426331,0.0205405,0.0167464,0.0190337,0.0065359,0.0628803,0.0650746,0.0506757,0.0519658,0.055721,0.0366492,467.5,379,NA
"36","New York","NY",0.108728,0.1446995,0.0840799,1282.5,1304.5,1254.5,0.0112817,0.0116162,0.0110582,0.014521,0.0186916,0.0124549,0.0618477,0.1085906,0.0422645,0.0555821,0.0846397,0.0362931,464,464,464
"37","North Carolina","NC",0.1993732,0.2639266,0.1724562,1406,1578,1297,0.0502767,0.0602355,0.0461269,0.0069384,0.0099562,0.0055765,0.080884,0.1103966,0.0676908,0.0678744,0.0988658,0.0563481,440,439.5,440
"38","North Dakota","ND",0.109528,0.1506849,0.1081454,1334.5,NA,1374,0.0191451,0.0273973,0.0188679,0.0049444,NA,0.0050441,0.0306748,NA,0.0303413,0.0370656,NA,0.0369207,NA,NA,NA
"39","Ohio","OH",0.195611,0.3659225,0.1721459,1153.5,1219,1131,0.0441382,0.0515781,0.0431159,0.0078619,0.0185874,0.0066282,0.0656973,0.1577928,0.0543569,0.0607173,0.131184,0.0532572,406,388.5,422
"40","Oklahoma","OK",0.2229877,0.283428,0.2101154,1512,1400,1538,0.0732415,0.0918947,0.0692688,0.0285497,0.0412088,0.0265135,0.064642,0.0857633,0.0605456,0.058061,0.087739,0.0523104,406,345,410
"41","Oregon","OR",0.1164397,0.1294118,0.1159878,1201,NA,1219.5,0.0097541,0.0147059,0.0095779,0.0072526,0.0327869,0.0065732,0.0603693,0.0677966,0.0600445,0.048026,0.0518135,0.0478968,463,NA,463
"42","Pennsylvania","PA",0.142947,0.2783605,0.118224,1215.5,1226,1211,0.0231158,0.03108,0.0216337,0.0129178,0.0241845,0.0112407,0.0573375,0.126935,0.0478604,0.0626148,0.1471619,0.0490939,412,377,433
"44","Rhode Island","RI",0.1264767,0.1839763,0.1088929,1155.5,1115.5,1177,0.0090341,0.0103858,0.0086207,0.0045086,0.0052083,0.004362,0.0681458,0.1285714,0.0509165,0.0542466,0.0942928,0.0428973,469,NA,418
"45","South Carolina","SC",0.2323798,0.3303371,0.2004216,1503,1602.5,1456,0.0595633,0.0758427,0.0542522,0.0099632,0.0208145,0.006549,0.0823413,0.1136364,0.0712366,0.0740306,0.1259036,0.0596766,368,361,371
"46","South Dakota","SD",0.1185804,0.2345679,0.1145203,1080.5,NA,1175,0.0087683,0.0123457,0.008643,0.0010384,NA,0.0010616,0.0449575,NA,0.0461923,0.0525915,NA,0.0525097,476,NA,475.5
"47","Tennessee","TN",0.2035501,0.327176,0.1747965,1234,1342,1200,0.0455386,0.0551357,0.0433084,0.0074227,0.0157171,0.0052192,0.0737564,0.1577351,0.0565999,0.0669686,0.1315205,0.0534111,373,361,387.5
"48","Texas","TX",0.2196467,0.244351,0.1769064,1566,1576,1552.5,0.0590315,0.0616625,0.054506,0.0112349,0.0121678,0.0097891,0.0786437,0.0884246,0.0611193,0.0618964,0.0708255,0.0477257,440,431,463
"49","Utah","UT",0.0932688,0.1933124,0.0849205,1362,1471,1350.5,0.0126562,0.0229885,0.0117945,0.0164456,0.0253165,0.0160665,0.0359682,0.0755208,0.0325148,0.0397655,0.0814941,0.0363887,390.5,NA,392.5
"50","Vermont","VT",0.0892734,NA,0.0893352,877,NA,877,0.0069204,NA,0.0069252,0.001938,NA,0.0019417,0.034749,NA,0.034749,0.0366864,NA,0.0366864,NA,NA,NA
"51","Virginia","VA",0.1444417,0.1853811,0.1227859,1427,1486,1378.5,0.037014,0.045083,0.0326963,0.0102875,0.0158796,0.0074421,0.0617166,0.0732143,0.0553778,0.0525181,0.0688726,0.0441147,449,470.5,424.5
"53","Washington","WA",0.1041892,0.1378641,0.0951259,1249,1396.5,1184.5,0.0080383,0.0101942,0.0074583,0.0099217,0.0157368,0.0086262,0.0450742,0.0718336,0.0383333,0.0420788,0.0593518,0.0375601,461,459,462
"54","West Virginia","WV",0.2004678,NA,0.2005159,1137,NA,1137,0.0451462,NA,0.0452627,0.0029873,NA,0.0029963,0.0681672,NA,0.0677857,0.0779719,NA,0.0777446,336,NA,335
"55","Wisconsin","WI",0.1455744,0.3650094,0.1212607,1222,1208.5,1230,0.0399247,0.0641913,0.0372359,0.007837,0.0291005,0.0061363,0.0563352,0.1565996,0.0463087,0.0437204,0.1128818,0.0377768,390.5,395,386
"56","Wyoming","WY",0.1976824,NA,0.1975224,1600.5,NA,1633,0.0886162,NA,0.0887818,0.0123839,NA,0.0125,0.0577281,NA,0.0562852,0.05,NA,0.048913,NA,NA,NA
