id,state,abbr,autoretdelrate,autoretdelrate_wh,autoretdelrate_nw,autoretdelrate_sub,autoretdelrate_sub_wh,autoretdelrate_sub_nw,autoopen_pct,autoopen_pct_wh,autoopen_pct_nw,autoretopen_pct,autoretopen_pct_wh,autoretopen_pct_nw,popnonwhite_pct,poprural_pct,HHinc_avg,HHinc_avg_wh,HHinc_avg_nw
44,Rhode Island,RI,0.02,0.02,0.05,0.12,0.01,0.00,0.31,0.34,0.20,0.34,0.36,0.23,0.28,0.09,85278.54,92460.16,59190.24
45,South Carolina,SC,0.06,0.05,0.10,0.21,0.01,0.00,0.29,0.30,0.27,0.36,0.36,0.36,0.36,0.34,70213.72,79807.49,50059.53
46,South Dakota,SD,0.02,0.02,0.10,0.17,0.01,0.00,0.33,0.34,0.25,0.39,0.40,0.31,0.18,0.43,73457.99,76968.79,45584.85
47,Tennessee,TN,0.05,0.04,0.09,0.19,0.01,0.00,0.30,0.32,0.22,0.37,0.39,0.28,0.26,0.34,72008.07,76595.90,56424.45
48,Texas,TX,0.06,0.04,0.08,0.21,0.01,0.00,0.33,0.35,0.30,0.39,0.41,0.37,0.58,0.15,82767.86,99569.21,66193.51
49,Utah,UT,0.02,0.02,0.05,0.15,0.00,0.00,0.38,0.38,0.29,0.42,0.42,0.34,0.22,0.09,86442.20,90327.85,68063.21
50,Vermont,VT,0.02,0.02,n/a*,0.15,0.01,0.00,0.42,0.42,n/a*,0.45,0.45,n/a*,0.07,0.61,76559.87,77051.53,66609.20
51,Virginia,VA,0.03,0.03,0.05,0.16,0.01,0.00,0.32,0.32,0.30,0.36,0.37,0.35,0.38,0.25,97638.72,104381.19,83793.63
53,Washington,WA,0.02,0.02,0.03,0.12,0.00,0.00,0.30,0.30,0.28,0.34,0.35,0.31,0.31,0.16,94296.89,96978.58,85983.05
54,West Virginia,WV,0.03,0.03,n/a*,0.15,0.01,0.00,0.33,0.33,n/a*,0.39,0.39,n/a*,0.08,0.51,59556.89,60391.52,46605.49
55,Wisconsin,WI,0.02,0.02,0.08,0.15,0.01,0.00,0.32,0.33,0.21,0.37,0.38,0.25,0.19,0.30,77368.54,80747.34,56712.13
56,Wyoming,WY,0.02,0.02,0.00,0.13,0.00,0.00,0.36,0.37,0.26,0.42,0.43,0.26,0.16,0.35,75854.55,78117.58,59437.22
