fips,STATE,abbr,pct_debt_collections,pct_debt_collections_wh,pct_debt_collections_nw,median_debt_in_collections,median_debt_in_collections_wh,median_debt_in_collections_nw,pct_w_medical_debt_in_collections,pct_w_medical_debt_in_collections_wh,pct_w_medical_debt_in_collections_nw,pct_student_holders_in_default,pct_student_holders_in_default_wh,pct_student_holders_in_default_nw,auto_retail_loan_delinquency_rate,auto_retail_loan_delinquency_rate_wh,auto_retail_loan_delinquency_rate_nw,credit_card_debt_delinquency_rate,credit_card_debt_delinquency_rate_wh,credit_card_debt_delinquency_rate_nw,median_credit_card_delinquent_debt,median_credit_card_delinquent_debt_wh,median_credit_card_delinquent_debt_nw,pct_poc,avg_household_income,avg_household_income_wh,avg_household_income_nw,,,,,,
44,Rhode Island,RI,0.26,0.22,0.45,1614.5,1707,1420.5,0.07,0.06,0.1,0.1,0.09,0.13,0.02,0.02,0.05,0.04,0.04,0.08,670,667.5,670,0.28,85278.54,92460.16,59190.24,,,,,,
45,South Carolina,SC,0.42,0.37,0.57,1890.5,1861,2025,0.27,0.24,0.35,0.16,0.14,0.21,0.06,0.05,0.1,0.05,0.04,0.08,579.5,623,440.5,0.36,70213.72,79807.49,50059.53,,,,,,
46,South Dakota,SD,0.17,0.16,0.47,2141,2183,1588,0.04,0.04,0.09,0.08,0.08,0.14,0.02,0.02,0.1,0.03,0.03,0.08,614,606,n<50,0.18,73457.99,76968.79,45584.85,,,,,,
47,Tennessee,TN,0.37,0.33,0.59,1720,1726,1664,0.22,0.22,0.27,0.15,0.13,0.24,0.05,0.04,0.09,0.05,0.04,0.1,545.5,579,452,0.26,72008.07,76595.9,56424.45,,,,,,
48,Texas,TX,0.42,0.33,0.5,1817,1769,1809,0.25,0.22,0.27,0.14,0.11,0.16,0.06,0.04,0.08,0.05,0.04,0.06,683,763,645,0.58,82767.86,99569.21,66193.51,,,,,,
49,Utah,UT,0.22,0.21,0.42,1910,1929,1886,0.15,0.14,0.25,0.1,0.1,0.3,0.02,0.02,0.05,0.03,0.03,0.06,538.5,572,n<50,0.22,86442.2,90327.85,68063.21,,,,,,
50,Vermont,VT,0.2,0.2,n<50,1580.5,1597,n<50,0.07,0.07,n<50,0.08,0.08,n<50,0.02,0.02,n<50,0.03,0.03,n<50,488,493,n<50,0.07,76559.87,77051.53,66609.2,,,,,,
51,Virginia,VA,0.29,0.26,0.42,1675.5,1593,1766,0.18,0.17,0.26,0.11,0.09,0.15,0.03,0.03,0.05,0.04,0.03,0.06,608,659.5,514.5,0.38,97638.72,104381.19,83793.63,,,,,,
53,Washington,WA,0.19,0.18,0.24,1726,1731,1499,0.06,0.06,0.07,0.11,0.1,0.12,0.02,0.02,0.03,0.03,0.03,0.04,644,641.5,477.5,0.31,94296.89,96978.58,85983.05,,,,,,
54,West Virginia,WV,0.42,0.42,n<50,1624,1618,n<50,0.31,0.31,n<50,0.17,0.17,n<50,0.03,0.03,n<50,0.05,0.05,n<50,587,596.5,n<50,0.08,59556.89,60391.52,46605.49,,,,,,
55,Wisconsin,WI,0.24,0.21,0.59,1793,1799,1816,0.15,0.13,0.36,0.11,0.09,0.25,0.02,0.02,0.08,0.03,0.02,0.08,602,615.5,482.5,0.19,77368.54,80747.34,56712.13,,,,,,
56,Wyoming,WY,0.27,0.27,0.82,2087,2137.5,n<50,0.19,0.19,0.68,0.11,0.11,0.33,0.02,0.02,0,0.03,0.03,0,573.5,575,n<50,0.16,75854.55,78117.58,59437.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
