"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"30","Montana","MT",".1975989",".5177383",".1865655","1589","1499","1589",".1104992",".2660754",".1046587",".0673909",".1260504",".0648855",".02726",".1467066",".0235407",".0233733",".0528169",".0228353","462","n/a*","443",".1424309","77320","57384","79694"
"31","Nebraska","NE",".1755542",".3621716",".1535653","1972","1799","2028",".0607809",".0998249",".054645",".047194",".1157556",".0437158",".0242742",".0419223",".022264",".0267436",".0591716",".0243429","463","372","467",".2164238","82539","61357","86570"
"32","Nevada","NV",".3184164",".4185911",".2302993","2054","1947","2036",".1590844",".194045",".1289221",".0992612",".124451",".0739161",".0427999",".0657626",".0257247",".0410924",".0588692",".026741","448","398","479",".5215869","86946","73810","96754"
"33","New Hampshire","NH",".1688059","n/a**",".1684774","1672","n/a**","1671",".0621062","n/a**",".0619608",".052037","n/a**",".0520217",".0183344","n/a**",".0181334",".0238788","n/a**",".0237824","471","n/a**","469",".1034367","100882","102566","100751"
"34","New Jersey","NJ",".2158979",".3269055",".1597788","1273","1209","1343",".11027",".1662821",".0823435",".0656731",".1037899",".0463162",".0273566",".0524061",".0170629",".0290753",".0489611",".0209688","430","372","473",".4567932","119301","98631","133114"
"35","New Mexico","NM",".3178584",".3685384",".1981519","1651","1628","1816",".1609344",".1792287",".1035678",".100197",".1121827",".0744337",".0594307",".0723709",".0309785",".0335123",".0392245",".019954","400","375","520",".6324555","71591","60713","84313"
"36","New York","NY",".1977194",".2625642",".1647099","1755","1786","1775",".0556699",".0518332",".0589911",".0663036",".0935315",".0525996",".0303063",".0574089",".020813",".0343502",".0545178",".0252941","420","385","456",".4494312","107355","86609","120624"
"37","North Carolina","NC",".3272508",".4481525",".281706","1570","1636","1554",".2029009",".2646872",".1794936",".0841914",".1146708",".0673989",".0444938",".075192",".0340418",".0423759",".0716501",".0339828","410","354","447",".3752788","80037","61717","88975"
"38","North Dakota","ND",".1632319",".4044369",".1556026","1866","993","1919",".0685091",".1279863",".0666096",".0467178",".0952381",".04522",".0254415",".0470588",".0248549",".0257477",".0456621",".0253029","474","n/a*","470",".1636166","85551","62689","89017"
"39","Ohio","OH",".2839095",".5100636",".2535343","1369","1381","1363",".1494514",".2058358",".1419283",".0816727",".1418067",".0720137",".0396921",".1046868",".0323579",".0370985",".0913423",".0318532","412","325","430",".216563","79505","58996","84414"
"40","Oklahoma","OK",".3535444",".5362681",".3219581","1897","1777","1917",".2145801",".3215358",".1972798",".1119119",".1880597",".1009238",".0504511",".0962656",".0445279",".042151",".0681482",".037917","458","416","466",".35102","75537","60294","81806"
"41","Oregon","OR",".1625354",".3492064",".1559868","1563","1639","1582",".0478134",".1164021",".0451863",".0773282","n/a*",".074957",".0187824",".0588235",".0175003",".0231175",".0384615",".0223741","463","n/a*","467",".2510301","88449","81905","89951"
"42","Pennsylvania","PA",".2335777",".4684668",".2008756","1657","1666","1655",".0935524",".1340935",".0880509",".0743803",".1518268",".0619907",".0298641",".0845032",".0239582",".0351797",".0974705",".0287991","387","293","427",".2438239","87789","68511","92586"
"44","Rhode Island","RI",".2086796",".3290415",".1795958","1575","1350","1680",".0510619",".0659871",".0470865",".0650661",".0972616",".0575588",".0298762",".0663329",".0226224",".0343592",".0667279",".0281869","394","350","427",".2919534","92553","69762","99206"
"45","South Carolina","SC",".3738679",".5298281",".321638","2026","2091","2030",".2225539",".2826339",".1989735",".0981479",".1342786",".0837684",".0664303",".113646",".0513429",".0449362",".0829086",".0362324","402","321","437",".3645409","78188","55622","89098"
"46","South Dakota","SD",".1486655",".4287293",".1368814","2323","2242","2346",".0316888",".0828729",".0295455",".0486574",".1086956",".0468521",".0225825",".1342282",".0190457",".0232855",".0392157",".0229699","419","n/a*","398",".1849741","77650","56868","80717"
"47","Tennessee","TN",".3160926",".5093167",".2896167","1892","2075","1866",".17627",".2120826",".1739338",".0927059",".1549926",".0809771",".0521782",".1195702",".0427813",".0382972",".0943058",".0316116","394","342","428",".2668642","78035","60887","83266"
"48","Texas","TX",".3705835",".4510403",".2930952","1997","1993","1965",".1881915",".2090381",".1708233",".0878658",".1027762",".0715044",".0597041",".0802684",".039154",".0401193",".0520479",".0306505","438","404","475",".5885772","89681","72057","108320"
"49","Utah","UT",".1919665",".3647343",".178431","1943","1493","1993",".1224023",".2265701",".1142577",".0658927",".1294643",".0620029",".0247257",".0539007",".0230456",".0222933",".0397906",".0208315","454","n/a*","452",".2231202","96415","74879","101025"
"50","Vermont","VT",".1629714","n/a**",".1625091","1501","n/a**","1515",".0471082","n/a**",".0464868",".0509232","n/a**",".0507136",".0206785","n/a**",".0205712",".0221405","n/a**",".0221031","389","n/a**","398",".0754773","83015","63075","84241"
"51","Virginia","VA",".2462926",".3616513",".2154027","1647","1757","1591",".1442176",".204054",".1291853",".0677446",".0953567",".0570763",".0370432",".0583315",".0303523",".0317614",".0526599",".0269113","423","376","442",".3892926","105091","90056","112673"
"53","Washington","WA",".1561735",".211231",".1438495","1865","1597","1878",".049685",".0622231",".0442121",".0599981",".085004",".0560166",".0211796",".0285454",".0188146",".0223846",".0308077",".0208829","439","396","437",".3267543","105775","98550","108277"
"54","West Virginia","WV",".37347","n/a*",".3725185","1459","n/a*","1454",".2396552","n/a*",".2395938",".1015098","n/a*",".1010227",".0390184","n/a*",".0386758",".0459654","n/a*",".0456041","410","n/a*","416",".0796134","65842","62101","66089"
"55","Wisconsin","WI",".198778",".4953494",".1730502","1642","1411","1699",".1135481",".2408777",".1022038",".0595749",".1504316",".0496754",".0278529",".0909323",".0232577",".020554",".0729661",".0175402","371","266","387",".1919859","82899","61496","86459"
"56","Wyoming","WY",".2404901",".6728972",".2367493","2680","1700","2725",".1677527",".4392523",".1651928",".0742779","n/a*",".0740217",".0317439","n/a*",".0313114",".0269693","n/a*",".0268536","520","n/a*","520",".1630316","83155","68390","85203"
